20171112 010  0.64 0.70 0.68  0.66 0.57 0.71   ;  ;
20171112 011  0.58 0.64 0.61  0.72 0.60 0.53   ;  ;
20171112 012  0.61 0.71 0.71  0.71 0.64 0.68   ;  ;
20171112 013                                   ;  ;
20171112 014                                   ;  ;
20171114 010  1.14 1.10 1.02  1.23 1.02 1.08   ;  ;
20171115 010  1.08 1.10 1.56  1.10 1.12 1.09   ;  ;
20171115 012  1.24 1.22 1.37  1.39 1.19 1.34   ;  ;
20171115 013  1.29 1.16 1.37  1.16 1.37 1.22   ;  ;
20171115 014  1.10 1.16 1.15  1.31 1.14 1.17   ;  ;
20171115 015  1.20 1.10 1.08  1.16 0.94 1.11   ;  ;
20171115 016  1.16 1.04 1.25  0.97 0.97 0.99   ;  ;
20171115 017  1.09 0.99 1.06  0.98 0.99 1.08   ;  ;
20171115 018  1.04 1.10 1.08  0.99 1.05 1.03   ;  ;
20171117 009  0.75 0.81 0.91  0.84 0.77 0.95   ;  ;
20171117 010  0.95 1.02 0.91  1.02 0.94 0.89   ;  ;
20171117 011  0.83 0.82 0.85  0.83 0.87 0.97   ;  ;
20171117 012  0.75                             ;  ;
20171117 013  0.77 0.72 0.66  0.72 0.60 0.80   ;  ;
20171118 003  1.03 1.03 1.04  0.99 1.08 0.90   ;  ;
20171118 008  0.89 0.71 0.73  0.73 0.72 0.79   ;  ;
20171119 002  1.80 1.62 1.87  1.88 1.89 2.37   ;  ;
20171119 003  1.72 1.99 1.47  1.86 1.60 1.65   ;  ;
20171119 004                                   ;  ;
20171119 005       1.49 1.23       1.24 2.25   ;  ;
20171119 006  1.70 2.48 2.08  2.33 2.08 1.62   ;  ; severe M1 degradation near end of this observation
20171120 003  0.99 0.95 0.85  0.84 0.85 1.06   ;  ; could not locate wfs spots on this field
20171120 004  1.15 1.56 1.10  1.56 1.32 1.33   ;  ;
20171120 005  1.00 1.54 1.36  1.46 1.29 1.42   ;  ;
20171120 006  0.96 0.85 1.10  0.86 0.87 1.02   ;  ;
20171120 007  1.55 1.54 1.70  1.86 1.57 1.79   ;  ;
20171120 008  1.73 1.55 1.47  1.55 1.69 1.40   ;  ;
20171120 009  1.05 1.12 1.14  1.33 1.12 0.99   ;  ;
20171120 010  1.11 1.51 1.18  1.51 1.20 1.13   ;  ;
20171121 003  1.09 1.18 1.01  1.41 1.03 1.11   ;  ;
20171121 004  1.29 1.16 1.41  1.29 1.60 1.53   ;  ;
20171121 005  1.21 1.39 1.48  1.25 1.29 1.57   ;  ;
20171121 006  1.51 1.29 1.38  1.27 1.66 1.38   ;  ;
20171121 007                                   ;  ;
20171121 008                                   ;  ;
20171123 003                                  moon up. sky brightness filter unchecked in htopx :(;  ;
20171123 008  0.86 0.89 0.88  0.87 0.84 0.86  virus down. only 7 units operational;  ;
20171124 010  0.45 0.45 0.58  0.39 0.58 0.53   ;  ;
20171124 011  0.46 0.53 0.56  0.56 0.54 0.50   ;  ;
20171124 012  0.58 0.60 0.64  0.57 0.66 0.55   ;  ;
