201809sci:/work/03946/hetdex/maverick/20180914/virus/virus0000015/exp03/virus/20180914T102322.6_105LL_sci.fits HF00502_W_000_W 367.04933888 402.434187418 58375.432901368 1.717333 0.32 208.295357 213.446459 -110.015422046185 16.3038888888889
201809sci:/work/03946/hetdex/maverick/20180914/virus/virus0000016/exp03/virus/20180914T104801.6_105LL_sci.fits HF00526_W 366.797871872 401.480606204 58375.4500185549 2.149333 0.32 208.295357 213.446459 -110.00238494575 15.7294444444444
201809sci:/work/03946/hetdex/maverick/20180914/virus/virus0000017/exp03/virus/20180914T111105.2_105LL_sci.fits HF00543_W 367.250031616 402.97830409 58375.4660332105 2.455333 0.32 208.295357 213.446459 -110.015422046185 15.8677777777778
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000014/exp03/virus/20180915T073838.4_105LL_sci.fits HF00162_E_000_E 367.74941824 403.4580425 58376.3185004843 1.498667 -0.15 153.148197 148.318087 -110.006730645895 16.2538888888889
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000015/exp03/virus/20180915T080918.9_105LL_sci.fits HF00188_E_000_E 367.849699072 402.907428344 58376.3398025404 1.966667 -0.15 153.168263 148.342553 -110.006730645895 15.8111111111111
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000016/exp03/virus/20180915T083507.2_105LL_sci.fits HF00420_E_000_E 366.849778176 401.884087321 58376.35772319 2.362667 -0.15 153.186037 148.364224 -110.015422046185 15.5877777777778
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000017/exp03/virus/20180915T090813.1_105LL_sci.fits HF00214_W_000_W 428.299205888 463.907628078 58376.3807075573 0.580667 0.15 207.811303 212.853781 -110.006730645895 15.8822222222222
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000018/exp03/virus/20180915T093345.3_105LL_sci.fits HF00238_W_000_W 367.050327808 402.305803395 58376.3984410181 1.012667 0.15 207.799537 212.839387 -110.006730645895 15.8516666666667
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000019/exp03/virus/20180915T095859.2_105LL_sci.fits HF00482_W_000_W 367.748349696 402.959032485 58376.4159639026 1.357333 0.32 208.307511 213.461353 -110.006730645895 15.8294444444444
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000022/exp03/virus/20180915T104720.6_105LL_sci.fits HF00403_W_000_W 367.798416128 403.656996374 58376.4495444992 2.269333 -0.01 207.25857 212.178242 -110.01107634604 15.685
201809sci:/work/03946/hetdex/maverick/20180915/virus/virus0000023/exp03/virus/20180915T111307.5_105LL_sci.fits HF00542_W_000_W 427.349716736 461.879467229 58376.4674486006 2.437333 0.32 208.263869 213.407873 -110.006730645895 15.5444444444444
201810sci:/work/03946/hetdex/maverick/20181003/virus/virus0000009/exp03/virus/20181003T054745.0_105LL_sci.fits HF00553_E 368.050621952 403.881247489 58394.2414935934 0.774667 0 152.981989 148.115363 -105.013521179557 17.8922222222222
201810sci:/work/03946/hetdex/maverick/20181003/virus/virus0000010/exp03/virus/20181003T061153.4_105LL_sci.fits HF00562_E 366.998431232 402.207555663 58394.2582579991 1.28 0 152.981989 148.115363 -105.004829779267 17.8694444444444
201810sci:/work/03946/hetdex/maverick/20181003/virus/virus0000011/exp03/virus/20181003T063750.3_105LL_sci.fits HF00166_E 41.600314112 456.232000215 58394.2762776632 1.570667 -0.15 152.981989 148.115363 -105.000484079123 17.6133333333333
201810sci:/work/03946/hetdex/maverick/20181004/virus/virus0000010/exp03/virus/20181004T073800.6_105LL_sci.fits HF00421_E 427.397696256 463.007187712 58395.3180627166 2.380667 -0.15 153.457614 148.695173 -105.009175479412 19.2355555555556
201810sci:/work/03946/hetdex/maverick/20181005/virus/virus0000012/exp03/virus/20181005T063618.7_105LL_sci.fits HF00173_E 367.498759168 403.228501292 58396.2752172593 1.696667 -0.15 153.454663 148.691578 -105.004829779267 18.8794444444444
201810sci:/work/03946/hetdex/maverick/20181005/virus/virus0000013/exp03/virus/20181005T065946.8_105LL_sci.fits HF00196_E 368.499763712 404.35753621 58396.2915148046 2.110667 -0.15 153.454745 148.691678 -104.996138378978 18.8172222222222
201810sci:/work/03946/hetdex/maverick/20181005/virus/virus0000014/exp03/virus/20181005T072253.4_105LL_sci.fits HF00418_E 367.749817344 402.881131549 58396.3075634339 2.326667 -0.15 153.454745 148.691678 -105.000484079123 18.5333333333333
201810sci:/work/03946/hetdex/maverick/20181005/virus/virus0000017/exp03/virus/20181005T075854.4_105LL_sci.fits HF00224_W 368.199028992 403.759017078 58396.3325751829 0.760667 0.15 208.018692 213.107585 -104.996138378978 18.1
201810sci:/work/03946/hetdex/maverick/20181005/virus/virus0000018/exp03/virus/20181005T082455.0_105LL_sci.fits HF00247_W 367.049644288 404.508149749 58396.3506374466 1.174667 0.15 208.018692 213.107585 -105.026558279991 18.2333333333333
201810sci:/work/03946/hetdex/maverick/20181005/virus/virus0000019/exp03/virus/20181005T084845.9_105LL_sci.fits HF00269_W 367.200790272 402.933435729 58396.3671986852 1.570667 0.15 208.018692 213.107585 -104.983101278543 17.7611111111111
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000014/exp03/virus/20181010T045704.8_105LL_sci.fits HF00546_E 367.750155008 402.696233252 58401.2063060859 0.594667 0 152.978059 148.110569 -105.009175479412 10.3283333333333
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000015/exp03/virus/20181010T052019.5_105LL_sci.fits HF00552_E 367.896928768 403.531728959 58401.2224486014 0.756 0 152.978059 148.110569 -105.000484079123 10.325
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000016/exp03/virus/20181010T054341.6_105LL_sci.fits HF00558_E 367.150975232 402.908524696 58401.238676229 0.956 0 152.978059 148.110569 -105.013521179557 10.3888888888889
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000017/exp03/virus/20181010T060823.0_105LL_sci.fits HF00165_E 366.698662656 401.629972543 58401.2558220993 1.552667 -0.15 152.978059 148.110569 -105.017866879702 10.3066666666667
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000018/exp03/virus/20181010T063248.3_105LL_sci.fits HF00189_E 367.847854592 402.531050182 58401.2727817916 1.984667 -0.15 152.978059 148.110569 -104.996138378978 10.3983333333333
201810sci:/work/03946/hetdex/maverick/20181010/virus/virus0000019/exp03/virus/20181010T065603.5_105LL_sci.fits HF00417_E 366.899363584 401.542826638 58401.2889295984 2.308667 -0.15 152.978059 148.110569 -105.017866879702 10.3111111111111
