yyyymmdd yyyymm specid ifuslot ifuid
20170529 201705 020 095 004
20170529 201705 024 083 023
20170529 201705 025 076 032
20170529 201705 027 085 001
20170529 201705 032 094 028
20170529 201705 037 073 031
20170529 201705 038 096 014
20170529 201705 041 084 015
20170529 201705 047 075 075
20170529 201705 051 105 051
20170529 201705 307 074 076
20170530 201705 008 093 054
20170530 201705 012 106 033
20170530 201705 013 103 019
20170530 201705 016 104 026
20170530 201705 017 086 022
20170530 201705 020 095 004
20170530 201705 024 083 023
20170530 201705 025 076 032
20170530 201705 027 085 001
20170530 201705 032 094 028
20170530 201705 037 073 031
20170530 201705 038 096 014
20170530 201705 041 084 015
20170530 201705 047 075 075
20170530 201705 051 105 051
20170530 201705 307 074 076
20170615 201706 008 093 054
20170615 201706 012 106 033
20170615 201706 013 103 019
20170615 201706 016 104 026
20170615 201706 017 086 022
20170615 201706 020 095 004
20170615 201706 024 083 023
20170615 201706 025 076 032
20170615 201706 027 085 001
20170615 201706 032 094 028
20170615 201706 037 073 031
20170615 201706 038 096 014
20170615 201706 041 084 015
20170615 201706 047 075 075
20170615 201706 051 105 051
20170615 201706 307 074 076
20170617 201706 008 093 054
20170617 201706 012 106 033
20170617 201706 013 103 019
20170617 201706 016 104 026
20170617 201706 017 086 022
20170617 201706 020 095 004
20170617 201706 024 083 023
20170617 201706 025 076 032
20170617 201706 027 085 001
20170617 201706 032 094 028
20170617 201706 037 073 031
20170617 201706 038 096 014
20170617 201706 041 084 015
20170617 201706 047 075 075
20170617 201706 051 105 051
20170617 201706 307 074 076
20170621 201706 008 093 054
20170621 201706 012 106 033
20170621 201706 013 103 019
20170621 201706 016 104 026
20170621 201706 017 086 022
20170621 201706 020 095 004
20170621 201706 024 083 023
20170621 201706 025 076 032
20170621 201706 027 085 001
20170621 201706 032 094 028
20170621 201706 037 073 031
20170621 201706 038 096 014
20170621 201706 041 084 015
20170621 201706 047 075 075
20170621 201706 051 105 051
20170621 201706 307 074 076
20170625 201706 008 093 054
20170625 201706 012 106 033
20170625 201706 013 103 019
20170625 201706 016 104 026
20170625 201706 017 086 022
20170625 201706 020 095 004
20170625 201706 024 083 023
20170625 201706 025 076 032
20170625 201706 027 085 001
20170625 201706 032 094 028
20170625 201706 037 073 031
20170625 201706 038 096 014
20170625 201706 041 084 015
20170625 201706 047 075 075
20170625 201706 051 105 051
20170625 201706 307 074 076
20170626 201706 008 093 054
20170626 201706 012 106 033
20170626 201706 013 103 019
20170626 201706 016 104 026
20170626 201706 017 086 022
20170626 201706 020 095 004
20170626 201706 024 083 023
20170626 201706 025 076 032
20170626 201706 027 085 001
20170626 201706 032 094 028
20170626 201706 037 073 031
20170626 201706 038 096 014
20170626 201706 041 084 015
20170626 201706 047 075 075
20170626 201706 051 105 051
20170626 201706 307 074 076
20170627 201706 008 093 054
20170627 201706 012 106 033
20170627 201706 013 103 019
20170627 201706 016 104 026
20170627 201706 017 086 022
20170627 201706 020 095 004
20170627 201706 024 083 023
20170627 201706 025 076 032
20170627 201706 027 085 001
20170627 201706 032 094 028
20170627 201706 037 073 031
20170627 201706 038 096 014
20170627 201706 041 084 015
20170627 201706 047 075 075
20170627 201706 051 105 051
20170627 201706 307 074 076
20170629 201706 008 093 054
20170629 201706 012 106 033
20170629 201706 013 103 019
20170629 201706 016 104 026
20170629 201706 017 086 022
20170629 201706 020 095 004
20170629 201706 024 083 023
20170629 201706 025 076 032
20170629 201706 027 085 001
20170629 201706 032 094 028
20170629 201706 037 073 031
20170629 201706 038 096 014
20170629 201706 041 084 015
20170629 201706 047 075 075
20170629 201706 051 105 051
20170629 201706 307 074 076
20170630 201706 008 093 054
20170630 201706 012 106 033
20170630 201706 013 103 019
20170630 201706 016 104 026
20170630 201706 017 086 022
20170630 201706 020 095 004
20170630 201706 024 083 023
20170630 201706 025 076 032
20170630 201706 027 085 001
20170630 201706 032 094 028
20170630 201706 037 073 031
20170630 201706 038 096 014
20170630 201706 041 084 015
20170630 201706 047 075 075
20170630 201706 051 105 051
20170630 201706 307 074 076
20170720 201707 008 093 054
20170720 201707 012 106 033
20170720 201707 013 103 019
20170720 201707 016 104 026
20170720 201707 017 086 022
20170720 201707 020 095 004
20170720 201707 024 083 023
20170720 201707 025 076 032
20170720 201707 027 085 001
20170720 201707 032 094 028
20170720 201707 037 073 031
20170720 201707 038 096 014
20170720 201707 041 084 015
20170720 201707 047 075 075
20170720 201707 051 105 051
20170720 201707 307 074 076
20170820 201708 008 093 054
20170820 201708 012 106 033
20170820 201708 013 103 019
20170820 201708 016 104 026
20170820 201708 017 086 022
20170820 201708 020 095 004
20170820 201708 024 083 023
20170820 201708 025 076 032
20170820 201708 027 085 001
20170820 201708 032 094 028
20170820 201708 037 073 031
20170820 201708 038 096 014
20170820 201708 041 084 015
20170820 201708 047 075 075
20170820 201708 051 105 051
20170820 201708 202 044 074
20170820 201708 305 045 056
20170820 201708 307 074 076
20170830 201708 008 093 054
20170830 201708 012 106 033
20170830 201708 013 103 019
20170830 201708 016 104 026
20170830 201708 017 086 022
20170830 201708 020 095 004
20170830 201708 024 083 023
20170830 201708 025 076 032
20170830 201708 027 085 001
20170830 201708 032 094 028
20170830 201708 037 073 031
20170830 201708 038 096 014
20170830 201708 041 084 015
20170830 201708 047 075 075
20170830 201708 051 105 051
20170830 201708 202 044 074
20170830 201708 305 045 056
20170830 201708 307 074 076
20170921 201709 008 093 054
20170921 201709 012 106 033
20170921 201709 013 103 019
20170921 201709 016 104 026
