  0.711  -0.005   0.877  -0.004   0.842   0.010 20180415 019
  0.858  -0.012   0.771   0.004   0.800   0.007 20180415 020
  0.667   0.019   0.931  -0.024   0.831   0.004 20180415 021
  0.736  -0.008   0.887  -0.012   0.808   0.019 20180415 022
  0.068   0.034   1.237  -0.699   1.124   0.664 20180416 007
 -0.074   0.034   1.222  -0.766   1.281   0.731 20180416 008
 -0.040  -0.054   1.195  -0.636   1.276   0.689 20180416 009
  0.015   0.056   1.091  -0.687   1.325   0.632 20180416 010
 -0.011   0.176   1.265  -0.783   1.176   0.606 20180416 011
 -0.002  -0.013   1.014  -0.849   1.419   0.862 20180416 012
  0.034   0.017   1.199  -0.710   1.196   0.694 20180416 014
  0.040  -0.027   1.189  -0.602   1.200   0.628 20180416 015
 -0.028   0.070   1.234  -0.798   1.225   0.728 20180416 017
 -0.096  -0.015   1.248  -0.621   1.277   0.635 20180416 019
  0.098  -0.055   1.167  -0.748   1.165   0.804 20180416 020
 -0.141  -0.088   1.287  -0.628   1.284   0.716 20180416 022
 -0.009   0.006   1.263  -0.686   1.177   0.680 20180416 023
  0.078   0.015   1.212  -0.707   1.140   0.693 20180416 024
 -0.067   0.057   1.195  -0.704   1.302   0.647 20180416 025
 -0.022  -0.028   1.177  -0.694   1.275   0.721 20180416 026
 -0.022   0.035   1.187  -0.690   1.265   0.656 20180416 027
  0.071   0.001   1.024  -0.689   1.335   0.689 20180417 010
 -0.018  -0.043   1.238  -0.624   1.211   0.666 20180417 015
  0.008  -0.056   1.198  -0.673   1.223   0.729 20180417 017
  0.020   0.053   1.181  -0.679   1.229   0.627 20180417 018
  0.031  -0.005   1.305  -0.712   1.093   0.718 20180417 019
 -0.101  -0.068   1.297  -0.679   1.233   0.747 20180417 020
 -0.131   0.047   1.229   0.742   1.331  -0.789 20180418 007
 -0.074   0.020   1.189   0.708   1.315  -0.727 20180418 008
 -0.097   0.009   1.215   0.676   1.311  -0.686 20180418 009
 -0.051   0.111   1.141   0.665   1.341  -0.776 20180418 010
 -0.070   0.019   1.254   0.704   1.246  -0.723 20180418 011
 -0.007  -0.004   1.269   0.678   1.168  -0.674 20180418 012
 -0.006   0.076   1.219   0.693   1.216  -0.769 20180418 013
 -0.095  -0.024   1.208   0.735   1.318  -0.710 20180418 014
  0.076   0.019   1.172   0.726   1.183  -0.745 20180418 015
 -0.024   0.062   1.266   0.778   1.188  -0.841 20180419 008
 -0.046  -0.105   1.276   0.751   1.201  -0.646 20180419 009
 -0.068   0.007   1.226   0.862   1.271  -0.868 20180419 010
 -0.093   0.071   1.244   0.693   1.279  -0.764 20180420 006
  0.012   0.087   1.186   0.657   1.231  -0.743 20180420 007
  0.779  -0.079   0.801   0.026   0.850   0.052 20180420 008
 -0.028  -0.008   1.228   0.735   1.229  -0.728 20180420 009
  0.078   0.041   1.191   0.655   1.162  -0.696 20180420 010
  0.560   0.255   0.893   0.436   0.978  -0.692 20180420 011
  0.067   0.036   1.197   0.674   1.167  -0.710 20180420 012
  0.443   0.128   1.093  -0.390   0.893   0.261 20180421 007
  0.077   0.107   1.277  -0.755   1.076   0.648 20180421 008
  1.195   0.584   0.638  -0.974   0.597   0.389 20180421 009
  0.029  -0.124   1.228  -0.693   1.174   0.816 20180421 010
